matrix,axis,axis_label,weight,axis_order,weight_scenario,weight_multiplier,threshold_transition,penalty_required,transition_order,effective_weight,rcs_at_100,max_grade,max_grade_letter,severity_required,reached,transition_label
Fluid biospecimens,P_cent2,Second centrifugation,10,3,+20%,1.2,D to E,50,4,12,88,Grade B,B,416.6666666666667,FALSE,D→E
Fluid biospecimens,P_post,Post-centrifugation delay,20,4,-20%,0.8,A to B,10,1,16,84,Grade B,B,62.5,TRUE,A→B
Fluid biospecimens,P_post,Post-centrifugation delay,20,4,-20%,0.8,B to C,20,2,16,84,Grade B,B,125,FALSE,B→C
Fluid biospecimens,P_post,Post-centrifugation delay,20,4,-20%,0.8,C to D,35,3,16,84,Grade B,B,218.75,FALSE,C→D
Fluid biospecimens,P_post,Post-centrifugation delay,20,4,-20%,0.8,D to E,50,4,16,84,Grade B,B,312.5,FALSE,D→E
Fluid biospecimens,P_post,Post-centrifugation delay,20,4,-10%,0.9,A to B,10,1,18,82,Grade B,B,55.55555555555556,TRUE,A→B
Fluid biospecimens,P_post,Post-centrifugation delay,20,4,-10%,0.9,B to C,20,2,18,82,Grade B,B,111.11111111111111,FALSE,B→C
Fluid biospecimens,P_post,Post-centrifugation delay,20,4,-10%,0.9,C to D,35,3,18,82,Grade B,B,194.44444444444446,FALSE,C→D
Fluid biospecimens,P_post,Post-centrifugation delay,20,4,-10%,0.9,D to E,50,4,18,82,Grade B,B,277.77777777777777,FALSE,D→E
Fluid biospecimens,P_post,Post-centrifugation delay,20,4,Nominal,1,A to B,10,1,20,80,Grade B,B,50,TRUE,A→B
Fluid biospecimens,P_post,Post-centrifugation delay,20,4,Nominal,1,B to C,20,2,20,80,Grade B,B,100,TRUE,B→C
Fluid biospecimens,P_post,Post-centrifugation delay,20,4,Nominal,1,C to D,35,3,20,80,Grade B,B,175,FALSE,C→D
Fluid biospecimens,P_post,Post-centrifugation delay,20,4,Nominal,1,D to E,50,4,20,80,Grade B,B,250,FALSE,D→E
Fluid biospecimens,P_post,Post-centrifugation delay,20,4,+10%,1.1,A to B,10,1,22,78,Grade C,C,45.45454545454545,TRUE,A→B
Fluid biospecimens,P_post,Post-centrifugation delay,20,4,+10%,1.1,B to C,20,2,22,78,Grade C,C,90.9090909090909,TRUE,B→C
Fluid biospecimens,P_post,Post-centrifugation delay,20,4,+10%,1.1,C to D,35,3,22,78,Grade C,C,159.0909090909091,FALSE,C→D
Fluid biospecimens,P_post,Post-centrifugation delay,20,4,+10%,1.1,D to E,50,4,22,78,Grade C,C,227.27272727272728,FALSE,D→E
Fluid biospecimens,P_post,Post-centrifugation delay,20,4,+20%,1.2,A to B,10,1,24,76,Grade C,C,41.666666666666664,TRUE,A→B
Fluid biospecimens,P_post,Post-centrifugation delay,20,4,+20%,1.2,B to C,20,2,24,76,Grade C,C,83.33333333333333,TRUE,B→C
Fluid biospecimens,P_post,Post-centrifugation delay,20,4,+20%,1.2,C to D,35,3,24,76,Grade C,C,145.83333333333334,FALSE,C→D
Fluid biospecimens,P_post,Post-centrifugation delay,20,4,+20%,1.2,D to E,50,4,24,76,Grade C,C,208.33333333333334,FALSE,D→E
Fluid biospecimens,P_store,Storage,25,5,-20%,0.8,A to B,10,1,20,80,Grade B,B,50,TRUE,A→B
Fluid biospecimens,P_store,Storage,25,5,-20%,0.8,B to C,20,2,20,80,Grade B,B,100,TRUE,B→C
Fluid biospecimens,P_store,Storage,25,5,-20%,0.8,C to D,35,3,20,80,Grade B,B,175,FALSE,C→D
Fluid biospecimens,P_store,Storage,25,5,-20%,0.8,D to E,50,4,20,80,Grade B,B,250,FALSE,D→E
Fluid biospecimens,P_store,Storage,25,5,-10%,0.9,A to B,10,1,22.5,77.5,Grade C,C,44.44444444444444,TRUE,A→B
Fluid biospecimens,P_store,Storage,25,5,-10%,0.9,B to C,20,2,22.5,77.5,Grade C,C,88.88888888888889,TRUE,B→C
Fluid biospecimens,P_store,Storage,25,5,-10%,0.9,C to D,35,3,22.5,77.5,Grade C,C,155.55555555555554,FALSE,C→D
Fluid biospecimens,P_store,Storage,25,5,-10%,0.9,D to E,50,4,22.5,77.5,Grade C,C,222.22222222222223,FALSE,D→E
Fluid biospecimens,P_store,Storage,25,5,Nominal,1,A to B,10,1,25,75,Grade C,C,40,TRUE,A→B
Fluid biospecimens,P_store,Storage,25,5,Nominal,1,B to C,20,2,25,75,Grade C,C,80,TRUE,B→C
Fluid biospecimens,P_store,Storage,25,5,Nominal,1,C to D,35,3,25,75,Grade C,C,140,FALSE,C→D
Fluid biospecimens,P_store,Storage,25,5,Nominal,1,D to E,50,4,25,75,Grade C,C,200,FALSE,D→E
Fluid biospecimens,P_store,Storage,25,5,+10%,1.1,A to B,10,1,27.500000000000004,72.5,Grade C,C,36.36363636363636,TRUE,A→B
Fluid biospecimens,P_store,Storage,25,5,+10%,1.1,B to C,20,2,27.500000000000004,72.5,Grade C,C,72.72727272727272,TRUE,B→C
Fluid biospecimens,P_store,Storage,25,5,+10%,1.1,C to D,35,3,27.500000000000004,72.5,Grade C,C,127.27272727272725,FALSE,C→D
Fluid biospecimens,P_store,Storage,25,5,+10%,1.1,D to E,50,4,27.500000000000004,72.5,Grade C,C,181.81818181818178,FALSE,D→E
Fluid biospecimens,P_store,Storage,25,5,+20%,1.2,A to B,10,1,30,70,Grade C,C,33.333333333333336,TRUE,A→B
Fluid biospecimens,P_store,Storage,25,5,+20%,1.2,B to C,20,2,30,70,Grade C,C,66.66666666666667,TRUE,B→C
Fluid biospecimens,P_store,Storage,25,5,+20%,1.2,C to D,35,3,30,70,Grade C,C,116.66666666666667,FALSE,C→D
Fluid biospecimens,P_store,Storage,25,5,+20%,1.2,D to E,50,4,30,70,Grade C,C,166.66666666666666,FALSE,D→E
Solid biospecimens,P_warm,Warm ischemia,25,1,-20%,0.8,A to B,10,1,20,80,Grade B,B,50,TRUE,A→B
Solid biospecimens,P_warm,Warm ischemia,25,1,-20%,0.8,B to C,20,2,20,80,Grade B,B,100,TRUE,B→C
Solid biospecimens,P_warm,Warm ischemia,25,1,-20%,0.8,C to D,35,3,20,80,Grade B,B,175,FALSE,C→D
Solid biospecimens,P_warm,Warm ischemia,25,1,-20%,0.8,D to E,50,4,20,80,Grade B,B,250,FALSE,D→E
Solid biospecimens,P_warm,Warm ischemia,25,1,-10%,0.9,A to B,10,1,22.5,77.5,Grade C,C,44.44444444444444,TRUE,A→B
Solid biospecimens,P_warm,Warm ischemia,25,1,-10%,0.9,B to C,20,2,22.5,77.5,Grade C,C,88.88888888888889,TRUE,B→C
Solid biospecimens,P_warm,Warm ischemia,25,1,-10%,0.9,C to D,35,3,22.5,77.5,Grade C,C,155.55555555555554,FALSE,C→D
Solid biospecimens,P_warm,Warm ischemia,25,1,-10%,0.9,D to E,50,4,22.5,77.5,Grade C,C,222.22222222222223,FALSE,D→E
Solid biospecimens,P_warm,Warm ischemia,25,1,Nominal,1,A to B,10,1,25,75,Grade C,C,40,TRUE,A→B
Solid biospecimens,P_warm,Warm ischemia,25,1,Nominal,1,B to C,20,2,25,75,Grade C,C,80,TRUE,B→C
Solid biospecimens,P_warm,Warm ischemia,25,1,Nominal,1,C to D,35,3,25,75,Grade C,C,140,FALSE,C→D
Solid biospecimens,P_warm,Warm ischemia,25,1,Nominal,1,D to E,50,4,25,75,Grade C,C,200,FALSE,D→E
Solid biospecimens,P_warm,Warm ischemia,25,1,+10%,1.1,A to B,10,1,27.500000000000004,72.5,Grade C,C,36.36363636363636,TRUE,A→B
Solid biospecimens,P_warm,Warm ischemia,25,1,+10%,1.1,B to C,20,2,27.500000000000004,72.5,Grade C,C,72.72727272727272,TRUE,B→C
Solid biospecimens,P_warm,Warm ischemia,25,1,+10%,1.1,C to D,35,3,27.500000000000004,72.5,Grade C,C,127.27272727272725,FALSE,C→D
Solid biospecimens,P_warm,Warm ischemia,25,1,+10%,1.1,D to E,50,4,27.500000000000004,72.5,Grade C,C,181.81818181818178,FALSE,D→E
Solid biospecimens,P_warm,Warm ischemia,25,1,+20%,1.2,A to B,10,1,30,70,Grade C,C,33.333333333333336,TRUE,A→B
Solid biospecimens,P_warm,Warm ischemia,25,1,+20%,1.2,B to C,20,2,30,70,Grade C,C,66.66666666666667,TRUE,B→C
Solid biospecimens,P_warm,Warm ischemia,25,1,+20%,1.2,C to D,35,3,30,70,Grade C,C,116.66666666666667,FALSE,C→D
Solid biospecimens,P_warm,Warm ischemia,25,1,+20%,1.2,D to E,50,4,30,70,Grade C,C,166.66666666666666,FALSE,D→E
Solid biospecimens,P_cold,Cold ischemia,25,2,-20%,0.8,A to B,10,1,20,80,Grade B,B,50,TRUE,A→B
Solid biospecimens,P_cold,Cold ischemia,25,2,-20%,0.8,B to C,20,2,20,80,Grade B,B,100,TRUE,B→C
Solid biospecimens,P_cold,Cold ischemia,25,2,-20%,0.8,C to D,35,3,20,80,Grade B,B,175,FALSE,C→D
Solid biospecimens,P_cold,Cold ischemia,25,2,-20%,0.8,D to E,50,4,20,80,Grade B,B,250,FALSE,D→E
Solid biospecimens,P_cold,Cold ischemia,25,2,-10%,0.9,A to B,10,1,22.5,77.5,Grade C,C,44.44444444444444,TRUE,A→B
Solid biospecimens,P_cold,Cold ischemia,25,2,-10%,0.9,B to C,20,2,22.5,77.5,Grade C,C,88.88888888888889,TRUE,B→C
Solid biospecimens,P_cold,Cold ischemia,25,2,-10%,0.9,C to D,35,3,22.5,77.5,Grade C,C,155.55555555555554,FALSE,C→D
Solid biospecimens,P_cold,Cold ischemia,25,2,-10%,0.9,D to E,50,4,22.5,77.5,Grade C,C,222.22222222222223,FALSE,D→E
Solid biospecimens,P_cold,Cold ischemia,25,2,Nominal,1,A to B,10,1,25,75,Grade C,C,40,TRUE,A→B
Solid biospecimens,P_cold,Cold ischemia,25,2,Nominal,1,B to C,20,2,25,75,Grade C,C,80,TRUE,B→C
Solid biospecimens,P_cold,Cold ischemia,25,2,Nominal,1,C to D,35,3,25,75,Grade C,C,140,FALSE,C→D
Solid biospecimens,P_cold,Cold ischemia,25,2,Nominal,1,D to E,50,4,25,75,Grade C,C,200,FALSE,D→E
Solid biospecimens,P_cold,Cold ischemia,25,2,+10%,1.1,A to B,10,1,27.500000000000004,72.5,Grade C,C,36.36363636363636,TRUE,A→B
Solid biospecimens,P_cold,Cold ischemia,25,2,+10%,1.1,B to C,20,2,27.500000000000004,72.5,Grade C,C,72.72727272727272,TRUE,B→C
Solid biospecimens,P_cold,Cold ischemia,25,2,+10%,1.1,C to D,35,3,27.500000000000004,72.5,Grade C,C,127.27272727272725,FALSE,C→D
Solid biospecimens,P_cold,Cold ischemia,25,2,+10%,1.1,D to E,50,4,27.500000000000004,72.5,Grade C,C,181.81818181818178,FALSE,D→E
Solid biospecimens,P_cold,Cold ischemia,25,2,+20%,1.2,A to B,10,1,30,70,Grade C,C,33.333333333333336,TRUE,A→B
Solid biospecimens,P_cold,Cold ischemia,25,2,+20%,1.2,B to C,20,2,30,70,Grade C,C,66.66666666666667,TRUE,B→C
Solid biospecimens,P_cold,Cold ischemia,25,2,+20%,1.2,C to D,35,3,30,70,Grade C,C,116.66666666666667,FALSE,C→D
Solid biospecimens,P_cold,Cold ischemia,25,2,+20%,1.2,D to E,50,4,30,70,Grade C,C,166.66666666666666,FALSE,D→E
Solid biospecimens,P_fix,Fixation / stabilization,15,3,-20%,0.8,A to B,10,1,12,88,Grade B,B,83.33333333333333,TRUE,A→B
Solid biospecimens,P_fix,Fixation / stabilization,15,3,-20%,0.8,B to C,20,2,12,88,Grade B,B,166.66666666666666,FALSE,B→C
Solid biospecimens,P_fix,Fixation / stabilization,15,3,-20%,0.8,C to D,35,3,12,88,Grade B,B,291.6666666666667,FALSE,C→D
Solid biospecimens,P_fix,Fixation / stabilization,15,3,-20%,0.8,D to E,50,4,12,88,Grade B,B,416.6666666666667,FALSE,D→E
Solid biospecimens,P_fix,Fixation / stabilization,15,3,-10%,0.9,A to B,10,1,13.5,86.5,Grade B,B,74.07407407407408,TRUE,A→B
Solid biospecimens,P_fix,Fixation / stabilization,15,3,-10%,0.9,B to C,20,2,13.5,86.5,Grade B,B,148.14814814814815,FALSE,B→C
Solid biospecimens,P_fix,Fixation / stabilization,15,3,-10%,0.9,C to D,35,3,13.5,86.5,Grade B,B,259.25925925925924,FALSE,C→D
Solid biospecimens,P_fix,Fixation / stabilization,15,3,-10%,0.9,D to E,50,4,13.5,86.5,Grade B,B,370.3703703703704,FALSE,D→E
Solid biospecimens,P_fix,Fixation / stabilization,15,3,Nominal,1,A to B,10,1,15,85,Grade B,B,66.66666666666667,TRUE,A→B
Solid biospecimens,P_fix,Fixation / stabilization,15,3,Nominal,1,B to C,20,2,15,85,Grade B,B,133.33333333333334,FALSE,B→C
Solid biospecimens,P_fix,Fixation / stabilization,15,3,Nominal,1,C to D,35,3,15,85,Grade B,B,233.33333333333334,FALSE,C→D
Solid biospecimens,P_fix,Fixation / stabilization,15,3,Nominal,1,D to E,50,4,15,85,Grade B,B,333.3333333333333,FALSE,D→E
Solid biospecimens,P_fix,Fixation / stabilization,15,3,+10%,1.1,A to B,10,1,16.5,83.5,Grade B,B,60.60606060606061,TRUE,A→B
Solid biospecimens,P_fix,Fixation / stabilization,15,3,+10%,1.1,B to C,20,2,16.5,83.5,Grade B,B,121.21212121212122,FALSE,B→C
Solid biospecimens,P_fix,Fixation / stabilization,15,3,+10%,1.1,C to D,35,3,16.5,83.5,Grade B,B,212.12121212121212,FALSE,C→D
Solid biospecimens,P_fix,Fixation / stabilization,15,3,+10%,1.1,D to E,50,4,16.5,83.5,Grade B,B,303.030303030303,FALSE,D→E
Solid biospecimens,P_fix,Fixation / stabilization,15,3,+20%,1.2,A to B,10,1,18,82,Grade B,B,55.55555555555556,TRUE,A→B
Solid biospecimens,P_fix,Fixation / stabilization,15,3,+20%,1.2,B to C,20,2,18,82,Grade B,B,111.11111111111111,FALSE,B→C
Solid biospecimens,P_fix,Fixation / stabilization,15,3,+20%,1.2,C to D,35,3,18,82,Grade B,B,194.44444444444446,FALSE,C→D
Solid biospecimens,P_fix,Fixation / stabilization,15,3,+20%,1.2,D to E,50,4,18,82,Grade B,B,277.77777777777777,FALSE,D→E
Solid biospecimens,P_fixTime,Fixation time,20,4,-20%,0.8,A to B,10,1,16,84,Grade B,B,62.5,TRUE,A→B
Solid biospecimens,P_fixTime,Fixation time,20,4,-20%,0.8,B to C,20,2,16,84,Grade B,B,125,FALSE,B→C
Solid biospecimens,P_fixTime,Fixation time,20,4,-20%,0.8,C to D,35,3,16,84,Grade B,B,218.75,FALSE,C→D
Solid biospecimens,P_fixTime,Fixation time,20,4,-20%,0.8,D to E,50,4,16,84,Grade B,B,312.5,FALSE,D→E
Solid biospecimens,P_fixTime,Fixation time,20,4,-10%,0.9,A to B,10,1,18,82,Grade B,B,55.55555555555556,TRUE,A→B
Solid biospecimens,P_fixTime,Fixation time,20,4,-10%,0.9,B to C,20,2,18,82,Grade B,B,111.11111111111111,FALSE,B→C
Solid biospecimens,P_fixTime,Fixation time,20,4,-10%,0.9,C to D,35,3,18,82,Grade B,B,194.44444444444446,FALSE,C→D
Solid biospecimens,P_fixTime,Fixation time,20,4,-10%,0.9,D to E,50,4,18,82,Grade B,B,277.77777777777777,FALSE,D→E
Solid biospecimens,P_fixTime,Fixation time,20,4,Nominal,1,A to B,10,1,20,80,Grade B,B,50,TRUE,A→B
Solid biospecimens,P_fixTime,Fixation time,20,4,Nominal,1,B to C,20,2,20,80,Grade B,B,100,TRUE,B→C
Solid biospecimens,P_fixTime,Fixation time,20,4,Nominal,1,C to D,35,3,20,80,Grade B,B,175,FALSE,C→D
Solid biospecimens,P_fixTime,Fixation time,20,4,Nominal,1,D to E,50,4,20,80,Grade B,B,250,FALSE,D→E
Solid biospecimens,P_fixTime,Fixation time,20,4,+10%,1.1,A to B,10,1,22,78,Grade C,C,45.45454545454545,TRUE,A→B
Solid biospecimens,P_fixTime,Fixation time,20,4,+10%,1.1,B to C,20,2,22,78,Grade C,C,90.9090909090909,TRUE,B→C
Solid biospecimens,P_fixTime,Fixation time,20,4,+10%,1.1,C to D,35,3,22,78,Grade C,C,159.0909090909091,FALSE,C→D
Solid biospecimens,P_fixTime,Fixation time,20,4,+10%,1.1,D to E,50,4,22,78,Grade C,C,227.27272727272728,FALSE,D→E
Solid biospecimens,P_fixTime,Fixation time,20,4,+20%,1.2,A to B,10,1,24,76,Grade C,C,41.666666666666664,TRUE,A→B
Solid biospecimens,P_fixTime,Fixation time,20,4,+20%,1.2,B to C,20,2,24,76,Grade C,C,83.33333333333333,TRUE,B→C
Solid biospecimens,P_fixTime,Fixation time,20,4,+20%,1.2,C to D,35,3,24,76,Grade C,C,145.83333333333334,FALSE,C→D
Solid biospecimens,P_fixTime,Fixation time,20,4,+20%,1.2,D to E,50,4,24,76,Grade C,C,208.33333333333334,FALSE,D→E
Solid biospecimens,P_store,Storage,15,5,-20%,0.8,A to B,10,1,12,88,Grade B,B,83.33333333333333,TRUE,A→B
Solid biospecimens,P_store,Storage,15,5,-20%,0.8,B to C,20,2,12,88,Grade B,B,166.66666666666666,FALSE,B→C
Solid biospecimens,P_store,Storage,15,5,-20%,0.8,C to D,35,3,12,88,Grade B,B,291.6666666666667,FALSE,C→D
Solid biospecimens,P_store,Storage,15,5,-20%,0.8,D to E,50,4,12,88,Grade B,B,416.6666666666667,FALSE,D→E
Solid biospecimens,P_store,Storage,15,5,-10%,0.9,A to B,10,1,13.5,86.5,Grade B,B,74.07407407407408,TRUE,A→B
Solid biospecimens,P_store,Storage,15,5,-10%,0.9,B to C,20,2,13.5,86.5,Grade B,B,148.14814814814815,FALSE,B→C
Solid biospecimens,P_store,Storage,15,5,-10%,0.9,C to D,35,3,13.5,86.5,Grade B,B,259.25925925925924,FALSE,C→D
Solid biospecimens,P_store,Storage,15,5,-10%,0.9,D to E,50,4,13.5,86.5,Grade B,B,370.3703703703704,FALSE,D→E
Solid biospecimens,P_store,Storage,15,5,Nominal,1,A to B,10,1,15,85,Grade B,B,66.66666666666667,TRUE,A→B
Solid biospecimens,P_store,Storage,15,5,Nominal,1,B to C,20,2,15,85,Grade B,B,133.33333333333334,FALSE,B→C
Solid biospecimens,P_store,Storage,15,5,Nominal,1,C to D,35,3,15,85,Grade B,B,233.33333333333334,FALSE,C→D
Solid biospecimens,P_store,Storage,15,5,Nominal,1,D to E,50,4,15,85,Grade B,B,333.3333333333333,FALSE,D→E
Solid biospecimens,P_store,Storage,15,5,+10%,1.1,A to B,10,1,16.5,83.5,Grade B,B,60.60606060606061,TRUE,A→B
Solid biospecimens,P_store,Storage,15,5,+10%,1.1,B to C,20,2,16.5,83.5,Grade B,B,121.21212121212122,FALSE,B→C
Solid biospecimens,P_store,Storage,15,5,+10%,1.1,C to D,35,3,16.5,83.5,Grade B,B,212.12121212121212,FALSE,C→D
Solid biospecimens,P_store,Storage,15,5,+10%,1.1,D to E,50,4,16.5,83.5,Grade B,B,303.030303030303,FALSE,D→E
